cell,grade,detail
nulunion-arg,runs,printed 5
nulunion-param-arg,runs,printed 5
nulunion-literal-arg,runs,printed 5
nulunion-field,runs,printed 5
nulunion-listelem,runs,printed 5
nulunion-mapval,runs,printed 5
nulunion-generic,runs,printed 7
nulunion-assign,runs,printed 5
nulunion-return,runs,printed 5
u3-niche-arg,runs,printed 5
u3-nulunion-arg,runs,printed 5
u3-variant-generic,runs,printed 7
sameshape-niche-arg,runs,printed 5
sameshape-literal-niche,runs,printed 5
sameshape-generic,runs,printed 7
variant-capture-arg,runs,printed 5
niche-capture-arg,runs,printed 5
variant-as-cast-arg,loud check reject,"[ERROR]: `as Circle` propagates Sq, which the enclosing function cannot return (it returns i32)"
niche-asq-cast-arg,runs,printed 5
variant-lambda-arg,runs,printed 5
generic-union-arg,runs,printed 7
generic-union-array,loud emit reject,[ERROR]: emitProgram: monomorphize: expected an array argument for `xs` in a call to `first`
generic-variant-array,loud emit reject,[ERROR]: emitProgram: monomorphize: expected an array argument for `xs` in a call to `first`
generic-niche-array,loud emit reject,[ERROR]: emitProgram: a nullable-Circle list element has no rep; use a non-null element type
generic-roundtrip-variant,runs,printed 5
generic-roundtrip-niche,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xda)"
generic-roundtrip-union,runs,printed 5
mixed-niche-arg,runs,printed 5
mixed-literal-niche-arg,runs,printed 5
mixed-generic,runs,printed 7
