cell,grade,detail
A-call-arg,runs,printed 5
A-return,runs,printed 5
A-let-ann,runs,printed 5
A-list-elem,runs,printed 5
A-list-push,runs,printed 5
A-struct-field,runs,printed 5
A-map-value,runs,printed 5
A-assign-local,runs,printed 5
A-if-expr-arm,runs,printed 5
A-nested-call-arg,runs,printed 5
A-global-cell,runs,printed 5
B-call-arg,runs,printed 5
B-return,runs,printed 5
B-let-ann,runs,printed 5
B-list-elem,loud emit reject,[ERROR]: emitProgram: a nullable-Circle list element has no rep; use a non-null element type
B-map-value,loud emit reject,"[ERROR]: emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list over an unnamed element rep, or a nullable litunion-result closure; any other value type here interned no mv slot)"
B-global-cell,runs,printed 5
B-assign-local,runs,printed 5
B-nested-call-arg,runs,printed 5
B-captured-call-arg,loud emit reject,[ERROR]: emitProgram: a function value's signature is not yet supported — a function value may not take a nullable or map parameter (or return one); annotate and call it as a named function instead
