== building the seed (everything below reads it) ==
refreshed build/vl-compiler.wasm (1996660 bytes) from current compiler/*.vl

GATE                       TIME  RESULT
deno task test            55.5s  ok
ci-native                 85.9s  ok
lsp suites (ci list)      85.9s  ok
lsp typecheck             85.9s  ok
native-fixpoint           85.9s  ok
self-compile time         85.9s  ok
lint-self + fmt           85.9s  ok
comment budget            85.9s  ok
arena-scan budget         85.9s  ok
scaling shape             85.9s  ok
deno lint                 85.9s  ok
rep-fuzz                  85.9s  ok
mono-tyaram-grid          85.9s  ok
filed witnesses           85.9s  ok
inventory refs            85.9s  ok
conflict markers          85.9s  ok
splice scan               85.9s  ok
distilled corpus          96.3s  ok

ALL GATES PASS ✅  (logs in /tmp/vl-gate.1843333)
