== building the seed (everything below reads it) ==
refreshed build/vl-compiler.wasm (1996118 bytes) from current compiler/*.vl

GATE                       TIME  RESULT
deno task test            73.3s  ok
ci-native                104.5s  ok
lsp suites (ci list)     104.5s  ok
lsp typecheck            104.5s  ok
native-fixpoint          104.5s  ok
self-compile time        104.5s  ok
lint-self + fmt          104.5s  ok
comment budget           104.5s  ok
arena-scan budget        104.5s  ok
scaling shape            104.5s  ok
deno lint                104.5s  ok
rep-fuzz                 104.5s  ok
mono-tyaram-grid         104.5s  ok
filed witnesses          104.5s  FAILED rc=1   /tmp/vl-gate.763393/13.log
inventory refs           104.5s  ok
conflict markers         104.5s  ok
splice scan              104.5s  ok
distilled corpus         142.8s  ok

GATE FAILED — logs in /tmp/vl-gate.763393
