== building the seed (everything below reads it) ==
refreshed build/vl-compiler.wasm (1996118 bytes) from current compiler/*.vl

GATE                       TIME  RESULT
deno task test            60.0s  ok
ci-native                 85.0s  ok
lsp suites (ci list)      85.0s  ok
lsp typecheck             85.0s  ok
native-fixpoint           85.0s  ok
self-compile time         85.0s  ok
lint-self + fmt           85.0s  ok
comment budget            85.0s  ok
arena-scan budget         85.0s  ok
scaling shape             85.0s  ok
deno lint                 85.0s  ok
rep-fuzz                  85.0s  ok
mono-tyaram-grid          85.0s  ok
filed witnesses           85.0s  ok
inventory refs            85.0s  ok
conflict markers          85.0s  ok
splice scan               85.0s  ok
distilled corpus          94.8s  ok

ALL GATES PASS ✅  (logs in /tmp/vl-gate.1388992)
